time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,pressure_msl_min,pressure_msl_max,relative_humidity_2m_max
2019-01-01,25.0,17.5,21.5,25.0,18.1,0.0,0.0,0.0,14.6,28.4,26,15.02,3.09,33226.16,1019.4,1023.4,89
2019-01-02,26.7,18.6,22.0,26.3,19.5,0.0,0.0,0.0,16.2,28.4,56,15.09,3.29,33415.02,1018.5,1022.3,91
2019-01-03,29.3,17.5,22.8,28.0,17.2,0.0,0.0,0.0,18.6,33.1,141,15.05,3.65,33058.73,1017.6,1022.4,84
2019-01-04,25.1,18.6,21.8,25.7,17.7,0.0,0.0,0.0,30.5,44.3,297,14.8,3.76,33289.27,1018.6,1021.3,93
2019-01-05,23.4,19.2,21.4,22.1,17.6,0.0,0.0,0.0,30.0,43.9,314,15.54,4.2,33609.33,1018.3,1022.1,74
2019-01-06,24.5,19.0,21.5,25.5,19.5,0.0,0.0,0.0,13.4,23.4,308,15.53,3.02,33607.53,1015.7,1020.1,85
2019-01-07,27.3,16.8,21.6,26.2,17.4,0.0,0.0,0.0,17.2,32.0,120,15.43,3.44,33497.04,1015.6,1019.6,94
2019-01-08,27.0,18.4,22.1,27.3,18.8,0.0,0.0,0.0,13.1,22.7,88,15.35,3.37,32940.63,1015.8,1019.6,86
2019-01-09,28.2,17.9,22.1,26.8,18.0,0.0,0.0,0.0,20.2,33.8,109,15.75,3.62,33596.65,1015.0,1018.9,91
2019-01-10,23.7,18.4,21.2,24.8,16.1,0.0,0.0,0.0,32.7,51.1,297,15.02,3.46,33595.02,1016.6,1020.0,93
2019-01-11,21.9,19.2,20.4,18.7,15.2,0.0,0.0,0.0,33.9,51.5,302,15.33,4.67,33480.54,1017.4,1020.8,69
2019-01-12,22.0,19.2,20.4,19.9,16.1,0.0,0.0,0.0,30.6,43.9,313,14.67,4.08,33248.52,1016.6,1020.2,73
2019-01-13,24.0,19.0,21.2,24.3,18.9,0.0,0.0,0.0,14.5,22.7,341,15.84,3.45,33592.42,1016.3,1020.2,77
2019-01-14,27.0,17.2,21.8,24.8,17.5,0.0,0.0,0.0,20.2,35.3,148,14.55,3.61,30368.59,1016.2,1021.0,88
2019-01-15,27.0,18.4,22.3,27.9,18.8,0.0,0.0,0.0,17.0,28.1,69,15.79,3.62,33833.2,1016.8,1020.4,85
2019-01-16,27.2,18.3,22.3,28.1,18.8,0.0,0.0,0.0,19.7,33.8,71,16.12,3.65,34195.64,1014.1,1018.8,90
2019-01-17,28.5,18.6,22.6,27.7,18.2,0.0,0.0,0.0,31.1,54.4,240,16.05,4.17,34198.24,1011.8,1016.0,81
2019-01-18,21.7,18.5,20.2,18.9,15.3,0.0,0.0,0.0,29.8,48.2,317,16.18,4.73,34340.79,1015.4,1019.1,72
2019-01-19,20.8,17.4,19.2,16.5,12.4,0.1,0.1,1.0,33.3,52.6,306,14.49,4.61,33555.21,1016.8,1019.9,67
2019-01-20,19.9,17.3,18.4,15.1,12.3,0.0,0.0,0.0,36.5,57.2,305,15.08,4.79,32599.19,1018.4,1022.0,62
2019-01-21,21.0,17.6,19.2,18.7,13.4,0.0,0.0,0.0,29.8,42.8,310,16.01,4.73,34267.9,1017.2,1021.5,62
2019-01-22,21.2,18.0,19.5,19.2,15.2,0.0,0.0,0.0,21.8,38.2,304,15.35,3.99,34253.3,1015.9,1019.0,67
2019-01-23,22.3,17.7,19.8,22.0,16.9,0.0,0.0,0.0,16.5,31.0,304,16.56,3.46,34871.41,1016.4,1019.0,82
2019-01-24,23.8,16.3,19.7,23.5,16.7,0.0,0.0,0.0,14.3,26.6,16,16.22,3.0,34894.79,1018.1,1021.3,94
2019-01-25,26.6,16.6,20.5,25.4,16.8,0.0,0.0,0.0,13.2,25.2,88,16.12,3.25,32955.68,1017.3,1020.5,97
2019-01-26,28.0,17.4,21.6,25.5,15.3,0.0,0.0,0.0,17.1,31.0,168,16.84,4.5,35276.15,1017.9,1020.9,74
2019-01-27,28.6,17.4,22.0,26.9,16.2,0.0,0.0,0.0,15.9,28.4,127,16.87,4.41,35420.37,1018.1,1022.2,74
2019-01-28,29.1,17.8,23.0,26.8,16.2,0.0,0.0,0.0,22.6,36.0,140,16.26,4.66,35566.03,1016.4,1021.9,74
2019-01-29,27.8,19.8,23.2,25.5,17.6,0.0,0.0,0.0,27.5,45.4,176,16.33,4.91,32364.19,1017.2,1022.4,74
2019-01-30,23.3,19.6,21.3,23.4,19.2,0.0,0.0,0.0,24.2,38.9,319,16.64,3.46,35311.77,1017.0,1020.4,92
2019-01-31,22.8,19.2,20.8,21.7,18.6,0.0,0.0,0.0,24.5,42.1,294,16.97,3.66,35722.64,1016.1,1020.1,83
2019-02-01,24.4,17.9,21.1,25.2,18.8,0.0,0.0,0.0,14.1,27.4,288,17.29,3.38,35942.73,1015.6,1019.6,90
2019-02-02,28.6,17.9,22.7,28.2,18.7,0.0,0.0,0.0,18.9,34.9,60,16.77,4.11,35863.29,1013.2,1017.7,94
2019-02-03,28.6,20.4,22.7,27.5,18.3,2.4,2.4,5.0,34.1,59.0,184,13.48,4.38,30509.75,1013.8,1016.9,76
2019-02-04,21.9,18.5,20.6,21.2,15.1,0.2,0.2,2.0,27.5,45.4,309,15.54,4.08,35822.05,1016.5,1021.3,87
