column,dtype,non_null,null,null_pct,n_unique
country,object,34936,0,0.0,167
country_long,object,34936,0,0.0,167
name,object,34936,0,0.0,34528
gppd_idnr,object,34936,0,0.0,34936
capacity_mw,float64,34936,0,0.0,5611
latitude,float64,34936,0,0.0,31779
longitude,float64,34936,0,0.0,33036
primary_fuel,object,34936,0,0.0,15
other_fuel1,object,1944,32992,94.44,12
other_fuel2,object,276,34660,99.21,11
other_fuel3,object,92,34844,99.74,8
commissioning_year,float64,17447,17489,50.06,2023
owner,object,20868,14068,40.27,10144
source,object,34921,15,0.04,866
url,object,34918,18,0.05,4870
geolocation_source,object,34517,419,1.2,28
wepp_id,object,16234,18702,53.53,15263
year_of_capacity_data,float64,14887,20049,57.39,11
generation_gwh_2013,float64,6417,28519,81.63,5458
generation_gwh_2014,float64,7226,27710,79.32,6159
generation_gwh_2015,float64,8203,26733,76.52,7037
generation_gwh_2016,float64,9144,25792,73.83,7671
generation_gwh_2017,float64,9500,25436,72.81,7974
generation_gwh_2018,float64,9637,25299,72.42,7946
generation_gwh_2019,float64,9659,25277,72.35,8327
generation_data_source,object,11400,23536,67.37,17
estimated_generation_gwh_2013,float64,16120,18816,53.86,8845
estimated_generation_gwh_2014,float64,16503,18433,52.76,9027
estimated_generation_gwh_2015,float64,17050,17886,51.2,9113
estimated_generation_gwh_2016,float64,17570,17366,49.71,9280
estimated_generation_gwh_2017,float64,33138,1798,5.15,15023
estimated_generation_note_2013,object,34936,0,0.0,5
estimated_generation_note_2014,object,34936,0,0.0,5
estimated_generation_note_2015,object,34936,0,0.0,5
estimated_generation_note_2016,object,34936,0,0.0,5
estimated_generation_note_2017,object,34936,0,0.0,6
